SIZE;ArrayList;ArrayList - max;SinglyLinkedList;SinglyLinkedList - max;DoublyLinkedList;DoublyLinkedList - max
5000;14018;19900;154;200;162;600
10000;19110;60700;152;300;152;600
15000;13904;60700;150;400;162;600
20000;13882;112800;162;400;156;600
25000;12060;112800;174;500;162;600
30000;12630;112800;160;500;204;1500
35000;15702;112800;202;1200;178;1500
40000;19042;112800;176;1200;190;1500
45000;19410;112800;198;1200;190;1500
50000;21444;112800;178;1200;168;1500
55000;26524;112800;166;1200;170;1500
60000;24130;112800;170;1200;194;1500
65000;26334;112800;196;1500;198;1500
70000;29392;112800;200;1500;222;1500
75000;31772;112800;172;1500;182;1500
80000;36032;122400;206;1500;176;1500
85000;34512;122400;192;1500;196;1500
90000;36850;122400;434;13100;200;1500
95000;41018;122400;202;13100;184;1500
100000;43068;122400;172;13100;196;1500
