SIZE;ArrayList;ArrayList - max;SinglyLinkedList;SinglyLinkedList - max;DoublyLinkedList;DoublyLinkedList - max
5000;13000;22000;11098;39600;10160;25900
10000;20318;50500;23214;95300;21956;88100
15000;13920;52200;29718;95300;29284;101800
20000;17816;52200;30824;114000;37488;109100
25000;22746;52200;48984;127400;39858;134900
30000;26674;52200;53696;179900;57000;150200
35000;33678;52200;98678;312100;89538;215300
40000;38286;67100;96986;312100;90866;234100
45000;44224;84800;120212;312100;89876;234100
50000;46990;84800;108892;312100;91316;234100
55000;49064;84800;116688;312100;103282;296200
60000;55072;103200;133412;312100;117328;338400
65000;59918;103200;185322;376300;157380;338400
70000;68364;121900;186778;376300;171982;356600
75000;74518;142500;181844;453700;182874;388800
80000;76840;142500;174966;453700;173216;402800
85000;84814;142500;191688;517300;163532;425200
90000;91486;142500;214014;651400;179540;768900
95000;98022;142500;242500;676500;203668;768900
100000;101000;169800;230572;676500;194784;878100
