SIZE;ArrayList;ArrayList - max;SinglyLinkedList;SinglyLinkedList - max;DoublyLinkedList;DoublyLinkedList - max
5000;68;100;18352;57000;148;300
10000;80;200;40760;166000;154;300
15000;82;200;45966;166000;160;400
20000;94;200;56896;166000;150;400
25000;88;200;84348;231600;168;500
30000;96;200;113082;276900;168;500
35000;104;500;133608;341800;182;500
40000;92;500;159624;575400;188;1200
45000;88;500;197260;631100;168;1200
50000;100;500;175344;631100;196;1200
55000;94;500;191430;631100;170;1200
60000;94;500;222332;840600;178;1200
65000;102;500;284348;865200;212;1200
70000;118;1200;298876;865200;170;1200
75000;90;1200;350386;865200;176;1200
80000;90;1200;330456;865200;188;1200
85000;90;1200;296816;865200;166;1200
90000;94;1200;327388;865200;184;1200
95000;120;1200;384742;865200;170;1200
100000;94;1200;399670;891900;188;1200
