SIZE;ArrayList;ArrayList - max;SinglyLinkedList;SinglyLinkedList - max;DoublyLinkedList;DoublyLinkedList - max
5000;6896;9200;180;300;212;700
10000;13756;17600;222;600;248;700
15000;20978;35300;226;600;226;700
20000;27572;35300;238;700;242;700
25000;34824;55200;278;800;246;700
30000;42356;71200;322;1100;286;800
35000;48738;71200;308;1100;348;1000
40000;56642;87100;374;1100;402;1000
45000;66144;102200;330;1100;408;3100
50000;71050;102200;292;1100;346;3100
55000;77832;102200;294;1100;376;3100
60000;84524;104200;314;1100;336;3100
65000;93728;131900;334;1100;380;3100
70000;104856;167700;336;1100;388;3100
75000;112388;176800;314;1100;378;3100
80000;115456;178900;324;1100;342;3100
85000;127618;187200;258;1100;330;3100
90000;143016;216500;302;1100;324;3100
95000;150952;232100;324;1100;348;3100
100000;150594;232100;302;1100;304;3100
