SIZE;ArrayList;ArrayList - max;SinglyLinkedList;SinglyLinkedList - max;DoublyLinkedList;DoublyLinkedList - max
5000;17430;55800;162;300;150;700
10000;23548;55800;188;300;168;700
15000;23646;64000;170;300;182;700
20000;30102;87800;174;500;192;700
25000;36950;87800;190;500;180;700
30000;43912;87800;188;500;204;700
35000;53908;87800;176;500;200;700
40000;59756;87800;216;1700;214;700
45000;67108;93400;184;1700;200;700
50000;75556;120500;192;1700;218;700
55000;78090;120500;194;1700;218;700
60000;87904;128000;190;1700;252;1300
65000;96574;137300;210;1700;212;1300
70000;108526;167800;204;1700;216;1300
75000;114732;173700;194;1700;212;1300
80000;119652;173700;188;1700;212;1300
85000;133610;296400;196;1700;208;1300
90000;147884;296400;220;1700;222;1300
95000;155970;296400;218;1700;236;1300
100000;162052;296400;200;1700;222;1300
