SIZE;ArrayList;ArrayList - max;SinglyLinkedList;SinglyLinkedList - max;DoublyLinkedList;DoublyLinkedList - max
5000;5140;18900;19326;100600;18336;44200
10000;9402;18900;36266;117800;39054;174600
15000;14624;36100;47286;127300;65424;189800
20000;18096;36100;59632;173500;68300;260400
25000;24780;57600;67958;187900;99168;260400
30000;27796;57600;97336;267200;134842;504700
35000;35554;59100;127782;387000;165188;504700
40000;40846;171600;162458;387000;228034;1252900
45000;45676;171600;193350;583700;210292;1252900
50000;47506;171600;145584;583700;211332;1252900
55000;53694;171600;181756;583700;238042;1252900
60000;55234;171600;222510;659600;285766;1252900
65000;63868;171600;273510;659600;411318;1474300
70000;66222;171600;275560;659600;407914;1474300
75000;70824;171600;308976;659600;437538;1474300
80000;73244;171600;297572;659600;398044;1474300
85000;78336;171600;259808;793000;421506;1474300
90000;91126;171600;338184;793000;453986;1474300
95000;92802;171600;356694;793000;457572;1474300
100000;100448;217300;321176;793000;485950;1474300
